match_id,bookmaker,odds_1,odds_N,odds_2,odds_1X,odds_X2,odds_12,source,entered_at
21,Betclic,1.27,5.6,12.0,1.035225618631732,3.818181818181818,1.148455162019593,OddsPortal,2026-07-07T19:17:51+00:00
22,Betclic,1.64,3.85,5.4,1.1500910746812387,2.247567567567568,1.257954545454545,OddsPortal,2026-07-07T19:18:56+00:00
23,Betclic,2.3,3.2,3.3,1.338181818181818,1.6246153846153848,1.3553571428571427,OddsPortal,2026-07-07T19:19:58+00:00
26,Betclic,1.84,3.5,4.6,1.205992509363296,1.9876543209876545,1.3142857142857145,OddsPortal,2026-07-07T19:21:46+00:00
28,Betclic,1.53,4.2,6.4,1.1214659685863877,2.535849056603773,1.2348045397225724,OddsPortal,2026-07-07T19:22:36+00:00
27,Betclic,1.25,6.0,12.0,1.0344827586206895,4.0,1.1320754716981132,OddsPortal,2026-07-07T19:23:13+00:00
25,Betclic,2.0,3.15,4.15,1.2233009708737863,1.7907534246575345,1.3495934959349594,OddsPortal,2026-07-07T19:23:55+00:00
31,Betclic,1.57,4.3,5.75,1.150085178875639,2.460199004975125,1.2332650273224044,OddsPortal,2026-07-07T19:24:42+00:00
30,Betclic,5.75,3.75,1.65,2.269736842105264,1.1458333333333333,1.2820945945945943,OddsPortal,2026-07-07T19:25:48+00:00
29,Betclic,1.1,11.5,20.0,1.003968253968254,7.301587301587302,1.0426540284360188,OddsPortal,2026-07-07T19:26:28+00:00
32,Betclic,2.05,3.4,3.75,1.2788990825688074,1.7832167832167831,1.3254310344827585,OddsPortal,2026-07-07T19:27:18+00:00
35,Betclic,1.65,4.2,5.0,1.1846153846153846,2.282608695652174,1.2406015037593985,OddsPortal,2026-07-07T19:27:58+00:00
33,Betclic,1.45,4.9,7.25,1.1188976377952755,2.923868312757202,1.2083333333333333,OddsPortal,2026-07-07T19:28:57+00:00
34,Betclic,1.15,9.0,15.5,1.0197044334975367,5.6938775510204085,1.0705705705705706,OddsPortal,2026-07-07T19:29:36+00:00
36,Betclic,7.5,4.4,1.46,2.773109243697479,1.096245733788396,1.2220982142857144,OddsPortal,2026-07-07T19:30:25+00:00
39,Betclic,1.09,11.0,22.0,0.9917287014061208,7.333333333333334,1.0385448245993938,OddsPortal,2026-07-07T19:31:04+00:00
37,Betclic,1.38,4.75,8.5,1.0693311582381728,3.0471698113207544,1.187246963562753,OddsPortal,2026-07-07T19:31:49+00:00
40,Betclic,1.37,4.65,10.0,1.0582225913621262,3.1740614334470987,1.204925241864556,OddsPortal,2026-07-07T19:32:27+00:00
38,Betclic,5.75,3.9,1.62,2.3238341968911915,1.1445652173913043,1.2639077340569878,OddsPortal,2026-07-07T19:33:21+00:00
43,Betclic,1.43,4.5,8.5,1.0851602023608768,2.942307692307692,1.2240684793554883,OddsPortal,2026-07-07T19:34:02+00:00
41,Betclic,1.07,13.5,33.0,0.991420727522306,9.580645161290322,1.0363956560023482,OddsPortal,2026-07-07T19:34:50+00:00
42,Betclic,2.4,3.45,2.9,1.4153846153846152,1.5755905511811024,1.3132075471698113,OddsPortal,2026-07-07T20:05:17+00:00
44,Betclic,6.75,4.4,1.5,2.6636771300448427,1.1186440677966103,1.2272727272727273,OddsPortal,2026-07-07T20:06:14+00:00
45,Betclic,1.13,9.25,21.0,1.0069845857418112,6.421487603305785,1.0723000451875282,OddsPortal,2026-07-07T20:06:56+00:00
47,Betclic,1.16,7.5,17.5,1.0046189376443415,5.25,1.087888531618435,OddsPortal,2026-07-07T20:07:41+00:00
48,Betclic,8.0,4.65,1.4,2.940711462450593,1.0760330578512398,1.1914893617021276,OddsPortal,2026-07-07T20:08:21+00:00
46,Betclic,1.5,4.0,7.5,1.090909090909091,2.608695652173913,1.25,OddsPortal,2026-07-07T20:08:57+00:00
